ID,Accession,RPM,Chromosome,Start,End,Strand,Confidence,Fetch
"hsa-mir-1261",MI0006396,"1.46e+03",chr11,90869121,90869202,"-","-",""
"hsa-mir-1262",MI0006397,92.5,chr1,68183518,68183610,"-","-",""
"hsa-mir-1263",MI0006398,0.772,chr3,164171471,164171556,"-","-",""
"hsa-mir-1264",MI0003758,212,chrX,114652655,114652723,"+","-",""
"hsa-mir-1265",MI0006401,755,chr10,14436576,14436661,"+","-",""
"hsa-mir-1266",MI0006403,69.5,chr15,52277117,52277200,"-","-",""
"hsa-mir-1267",MI0006404,61.7,chr13,107531171,107531248,"-","-",""
"hsa-mir-1268a",MI0006405,"1.13e+03",chr15,22225278,22225329,"-","-",""
"hsa-mir-1268b",MI0016748,516,chr17,80098828,80098877,"+","-",""
"hsa-mir-1269a",MI0006406,"1.82e+03",chr4,66276824,66276928,"+","-",""
"hsa-mir-1269b",MI0016888,"1.77e+03",chr17,12917268,12917342,"-","-",""
"hsa-mir-1270",MI0006407,127,chr19,20399272,20399354,"-","-",""
"hsa-mir-1271",MI0003814,336,chr5,176367946,176368031,"+","",""
"hsa-mir-1272",MI0006408,75.4,chr15,64762387,64762515,"-","-",""
"hsa-mir-1273a",MI0006409,"1.93e+03",chr8,100023982,100024084,"-","-",""
"hsa-mir-1273c",MI0014171,435,chr6,154853360,154853436,"+","-",""
"hsa-mir-1273d",MI0014254,645,chr1,10227718,10227803,"+","-",""
"hsa-mir-1273e",MI0016059,"1.22e+03",chr17,64425069,64425170,"-","-",""
"hsa-mir-1273f",MI0018002,"1.4e+03",chr1,52928674,52928772,"+","-",""
"hsa-mir-1273g",MI0018003,946,chr1,52940314,52940413,"+","-",""
"hsa-mir-1273h",MI0025512,2.83,chr16,24203116,24203231,"+","-",""
"hsa-mir-1275",MI0006415,"3.32e+03",chr6,33999972,34000051,"-","-",""
"hsa-mir-1276",MI0006416,58,chr15,85770496,85770578,"-","-",""
"hsa-mir-1277",MI0006419,133,chrX,118386394,118386471,"+","-",""
"hsa-mir-1278",MI0006425,134,chr1,193136503,193136583,"+","",""
"hsa-mir-1279",MI0006426,21.1,chr12,69273157,69273218,"-","-",""
"hsa-mir-1281",MI0006428,561,chr22,41092513,41092566,"+","-",""
"hsa-mir-1282",MI0006429,284,chr15,43793659,43793759,"-","-",""
"hsa-mir-1283-1",MI0003832,395,chr19,53688481,53688567,"+","-",""
"hsa-mir-1283-2",MI0006430,470,chr19,53758232,53758318,"+","-",""
"hsa-mir-1284",MI0006431,72.1,chr3,71541970,71542089,"-","-",""
"hsa-mir-1285-1",MI0006346,686,chr7,92204015,92204098,"-","",""
"hsa-mir-1285-2",MI0006347,748,chr2,70252918,70253005,"-","-",""
"hsa-mir-1286",MI0006348,120,chr22,20249134,20249211,"-","-",""
"hsa-mir-1287",MI0006349,161,chr10,98395218,98395307,"-","",""
"hsa-mir-1288",MI0006432,36.7,chr17,16282014,16282088,"+","-",""
"hsa-mir-1289-1",MI0006350,756,chr20,35453954,35454097,"-","-",""
"hsa-mir-1289-2",MI0006351,27.6,chr5,133427596,133427706,"-","-",""
"hsa-mir-1290",MI0006352,"2.55e+03",chr1,18897071,18897148,"-","-",""
"hsa-mir-1291",MI0006353,102,chr12,48654444,48654530,"-","-",""
"hsa-mir-1292",MI0006433,36,chr20,2652777,2652842,"+","-",""
"hsa-mir-1293",MI0006355,176,chr12,50234142,50234212,"-","-",""
"hsa-mir-1294",MI0006356,146,chr5,154347106,154347247,"+","-",""
"hsa-mir-1295a",MI0006357,89.4,chr1,171101728,171101806,"-","-",""
"hsa-mir-1295b",MI0019146,"-",chr1,171101739,171101798,"+","-",""
"hsa-mir-1296",MI0003780,449,chr10,63372957,63373048,"-","",""
"hsa-mir-1297",MI0006358,224,chr13,54311972,54312048,"-","-",""
"hsa-mir-1298",MI0003938,22.1,chrX,114715233,114715344,"+","-",""
"hsa-mir-1299",MI0006359,235,chr9,40929010,40929092,"-","-",""
"hsa-mir-1301",MI0003815,652,chr2,25328640,25328721,"-","-",""
"hsa-mir-1302-1",MI0006362,30.1,chr12,112695034,112695176,"-","-",""
"hsa-mir-1302-10",MI0015979,178,chr15,101960459,101960596,"-","-",""
"hsa-mir-1302-11",MI0015980,193,chr19,71973,72110,"+","-",""
"hsa-mir-1302-2",MI0006363,193,chr1,30366,30503,"+","-",""
"hsa-mir-1302-3",MI0006364,178,chr2,113582959,113583096,"-","-",""
"hsa-mir-1302-4",MI0006365,192,chr2,207269275,207269424,"-","-",""
"hsa-mir-1302-5",MI0006366,56.8,chr20,50614636,50614785,"-","-",""
"hsa-mir-1302-6",MI0006367,40.4,chr7,18127220,18127309,"-","-",""
"hsa-mir-1302-7",MI0006368,34.7,chr8,141786242,141786313,"-","-",""
"hsa-mir-1302-8",MI0006369,31.9,chr9,97363554,97363681,"-","-",""
"hsa-mir-1302-9",MI0015978,193,chr9,30144,30281,"+","-",""
"hsa-mir-1303",MI0006370,997,chr5,154685776,154685861,"+","-",""
"hsa-mir-1304",MI0006371,189,chr11,93733674,93733764,"-","",""
"hsa-mir-1305",MI0006372,54,chr4,182169293,182169378,"+","-",""
"hsa-mir-1306",MI0006443,213,chr22,20086058,20086142,"+","",""
"hsa-mir-1307",MI0006444,"2.11e+03",chr10,103394253,103394401,"-","",""
"hsa-mir-1321",MI0006652,73.3,chrX,85835780,85835858,"+","-",""
"hsa-mir-1322",MI0006653,45.2,chr8,10825373,10825443,"-","-",""
"hsa-mir-1323",MI0003786,200,chr19,53671968,53672040,"+","-",""
"hsa-mir-1324",MI0006657,83.1,chr3,75630763,75630858,"+","-",""
"hsa-mir-1343",MI0017320,45.3,chr11,34941837,34941920,"+","-",""
"hsa-mir-1468",MI0003782,78.6,chrX,63786002,63786087,"-","-",""
"hsa-mir-1469",MI0007074,117,chr15,96333261,96333307,"+","-",""
"hsa-mir-1470",MI0007075,700,chr19,15449548,15449608,"+","-",""
"hsa-mir-1471",MI0007076,24.4,chr2,231892242,231892298,"-","-",""
"hsa-mir-1537",MI0007258,41.5,chr1,235853000,235853060,"-","-",""
"hsa-mir-1538",MI0007259,221,chr16,69565808,69565868,"-","-",""
"hsa-mir-1539",MI0007260,"-",chr18,49487373,49487422,"+","-",""
"hsa-mir-1587",MI0016905,46.1,chrX,39837561,39837613,"+","-",""
"hsa-mir-1825",MI0008193,371,chr20,32237795,32237847,"+","-",""
"hsa-mir-1827",MI0008195,185,chr12,100189884,100189949,"+","-",""
"hsa-mir-1908",MI0008329,680,chr11,61815161,61815240,"-","",""
"hsa-mir-1909",MI0008330,71,chr19,1816159,1816238,"-","-",""
"hsa-mir-1910",MI0008331,72.6,chr16,85741621,85741700,"-","",""
"hsa-mir-1911",MI0008332,40.4,chrX,114763184,114763263,"+","-",""
"hsa-mir-1912",MI0008333,90.3,chrX,114651544,114651623,"+","-",""
"hsa-mir-1913",MI0008334,48.1,chr6,166509354,166509433,"-","-",""
"hsa-mir-1914",MI0008335,20,chr20,63941465,63941544,"-","-",""
"hsa-mir-1915",MI0008336,"1.45e+03",chr10,21496562,21496641,"-","-",""
"hsa-mir-1972-1",MI0009982,307,chr16,15010321,15010397,"-","-",""
"hsa-mir-1972-2",MI0015977,338,chr16,70030346,70030422,"+","-",""
"hsa-mir-1973",MI0009983,835,chr4,116299725,116299768,"+","-",""
"hsa-mir-1976",MI0009986,115,chr1,26554542,26554593,"+","-",""
"hsa-mir-2052",MI0010486,"-",chr8,74705693,74705747,"+","-",""
"hsa-mir-2053",MI0010487,20,chr8,112643493,112643583,"+","-",""
"hsa-mir-2054",MI0010488,37,chr4,125507259,125507307,"+","-",""
"hsa-mir-2110",MI0010629,248,chr10,114174105,114174179,"-","-",""
"hsa-mir-2113",MI0003939,15.7,chr6,98024531,98024621,"+","-",""
"hsa-mir-2114",MI0010633,89,chrX,150228004,150228083,"+","-",""
"hsa-mir-2115",MI0010634,51.6,chr3,48316360,48316459,"-","-",""
"hsa-mir-2116",MI0010635,99.6,chr15,59171183,59171262,"-","",""
"hsa-mir-2117",MI0010636,18.5,chr17,43444806,43444885,"+","-",""
"hsa-mir-2276",MI0011282,45.2,chr13,24162416,24162504,"+","-",""
"hsa-mir-2277",MI0011284,43.9,chr5,93620696,93620788,"-","-",""
"hsa-mir-2278",MI0011285,87.9,chr9,94809962,94810057,"+","-",""
"hsa-mir-2355",MI0015873,198,chr2,207109987,207110073,"-","-",""
"hsa-mir-2392",MI0016870,85.4,chr14,100814491,100814574,"+","-",""
"hsa-mir-2467",MI0017432,28.8,chr2,239351724,239351804,"-","-",""
"hsa-mir-2681",MI0012062,54.4,chr13,101967642,101967746,"-","-",""
"hsa-mir-2682",MI0012063,121,chr1,98045242,98045351,"-","-",""
"hsa-mir-2861",MI0013006,195,chr9,127785918,127786007,"+","-",""
"hsa-mir-2909",MI0013083,86.7,chr17,37033745,37033813,"+","-",""
"hsa-mir-3064",MI0017375,28.9,chr17,64500774,64500839,"-","-",""
"hsa-mir-3065",MI0014228,96.2,chr17,81125877,81125955,"+","",""
"hsa-mir-3074",MI0014181,52.4,chr9,95086014,95086094,"-","",""
"hsa-mir-3115",MI0014127,21.7,chr1,23044305,23044372,"+","-",""
"hsa-mir-3116-1",MI0014128,13.8,chr1,62078786,62078859,"+","-",""
"hsa-mir-3116-2",MI0014129,32.7,chr1,62078789,62078856,"-","-",""
"hsa-mir-3117",MI0014130,63.5,chr1,66628440,66628517,"+","-",""
"hsa-mir-3118-1",MI0014131,10.4,chr21,13644775,13644850,"-","-",""
"hsa-mir-3118-2",MI0014132,12,chr15,20832795,20832869,"+","-",""
"hsa-mir-3118-3",MI0014133,12,chr15,21406385,21406459,"+","-",""
"hsa-mir-3118-4",MI0014207,13.8,chr15,21843750,21843824,"+","-",""
"hsa-mir-3119-1",MI0014134,15.7,chr1,170151378,170151462,"-","-",""
"hsa-mir-3119-2",MI0014135,27.1,chr1,170151378,170151462,"+","-",""
"hsa-mir-3120",MI0014136,46.8,chr1,172138808,172138888,"+","-",""
"hsa-mir-3121",MI0014137,17.3,chr1,180438314,180438390,"-","-",""
"hsa-mir-3122",MI0014138,37.1,chr1,212077613,212077685,"+","-",""
"hsa-mir-3123",MI0014139,"1.12e+03",chr1,241132272,241132346,"+","-",""
"hsa-mir-3124",MI0014140,34.9,chr1,248826377,248826443,"+","-",""
"hsa-mir-3125",MI0014142,33.8,chr2,12737367,12737444,"+","-",""
"hsa-mir-3126",MI0014143,16.3,chr2,69103682,69103755,"+","-",""
"hsa-mir-3127",MI0014144,78.8,chr2,96798278,96798353,"+","-",""
"hsa-mir-3128",MI0014145,13.6,chr2,177255945,177256010,"-","-",""
"hsa-mir-3129",MI0014146,47.8,chr2,189133036,189133111,"-","-",""
"hsa-mir-3130-1",MI0014147,129,chr2,206783234,206783308,"-","",""
"hsa-mir-3130-2",MI0014148,131,chr2,206783234,206783308,"+","",""
"hsa-mir-3131",MI0014151,84.7,chr2,219058688,219058750,"-","-",""
"hsa-mir-3132",MI0014152,71.1,chr2,219549073,219549147,"-","-",""
"hsa-mir-3133",MI0014153,32.8,chr2,241477905,241477982,"+","-",""
"hsa-mir-3134",MI0014155,41.5,chr3,15697298,15697371,"-","-",""
"hsa-mir-3135a",MI0014156,118,chr3,20137565,20137641,"+","-",""
"hsa-mir-3135b",MI0016809,316,chr6,32749912,32749979,"-","-",""
"hsa-mir-3136",MI0014158,59.3,chr3,69048958,69049035,"-","-",""
"hsa-mir-3137",MI0014160,48.4,chr3,195134506,195134580,"-","-",""
"hsa-mir-3138",MI0014161,65.9,chr4,10078611,10078692,"-","-",""
"hsa-mir-3139",MI0014162,20.9,chr4,143343460,143343535,"+","-",""
"hsa-mir-3140",MI0014163,34.6,chr4,152489327,152489416,"-","",""
"hsa-mir-3141",MI0014165,578,chr5,154596012,154596072,"-","-",""
"hsa-mir-3142",MI0014166,52.8,chr5,160474402,160474483,"+","-",""
"hsa-mir-3143",MI0014167,33.7,chr6,27147626,27147688,"+","-",""
"hsa-mir-3144",MI0014169,92.5,chr6,120015179,120015257,"+","",""
"hsa-mir-3145",MI0014170,29.9,chr6,138435213,138435294,"-","-",""
"hsa-mir-3146",MI0014172,6.44,chr7,19705358,19705436,"-","-",""
"hsa-mir-3147",MI0014173,187,chr7,57405025,57405090,"+","-",""
"hsa-mir-3148",MI0014175,82.9,chr8,29957272,29957348,"-","-",""
"hsa-mir-3149",MI0014176,172,chr8,76966768,76966850,"-","-",""
"hsa-mir-3150a",MI0014177,24.5,chr8,95072914,95072993,"+","-",""
"hsa-mir-3150b",MI0016426,348,chr8,95072911,95072996,"-","-",""
"hsa-mir-3151",MI0014178,49.6,chr8,103154614,103154689,"+","-",""
"hsa-mir-3152",MI0014179,22.4,chr9,18573306,18573379,"+","-",""
"hsa-mir-3153",MI0014180,20.2,chr9,89312225,89312306,"+","-",""
"hsa-mir-3154",MI0014182,105,chr9,128244947,128245030,"-","-",""
"hsa-mir-3155a",MI0014183,31.2,chr10,6152196,6152277,"+","-",""
"hsa-mir-3155b",MI0016839,126,chr10,6152207,6152262,"-","-",""
"hsa-mir-3156-1",MI0014184,50.8,chr10,45164014,45164088,"+","-",""
"hsa-mir-3156-2",MI0014230,50.8,chr18,14830166,14830242,"+","-",""
"hsa-mir-3156-3",MI0014242,55.9,chr21,13406384,13406460,"-","-",""
"hsa-mir-3157",MI0014185,45.4,chr10,96064315,96064399,"-","-",""
"hsa-mir-3158-1",MI0014186,59.7,chr10,101601417,101601497,"+","",""
"hsa-mir-3158-2",MI0014187,62,chr10,101601417,101601497,"-","-",""
"hsa-mir-3159",MI0014188,723,chr11,18387787,18387860,"+","-",""
"hsa-mir-3160-1",MI0014189,119,chr11,46451805,46451889,"-","-",""
"hsa-mir-3160-2",MI0014190,100,chr11,46451807,46451887,"+","-",""
"hsa-mir-3161",MI0014191,31.7,chr11,48096782,48096858,"+","-",""
"hsa-mir-3162",MI0014192,209,chr11,59595077,59595158,"-","-",""
"hsa-mir-3163",MI0014193,62.4,chr11,66934434,66934506,"-","-",""
"hsa-mir-3164",MI0014194,46.5,chr11,69083176,69083258,"+","-",""
"hsa-mir-3165",MI0014195,52.8,chr11,72072228,72072302,"-","-",""
"hsa-mir-3166",MI0014196,21.6,chr11,88176502,88176593,"+","-",""
"hsa-mir-3167",MI0014198,34.3,chr11,126988458,126988542,"-","-",""
"hsa-mir-3168",MI0014199,139,chr13,41101019,41101100,"-","-",""
"hsa-mir-3169",MI0014200,30.7,chr13,61199798,61199880,"-","-",""
"hsa-mir-3170",MI0014201,101,chr13,98208524,98208600,"+","-",""
"hsa-mir-3171",MI0014202,36.3,chr14,27633205,27633278,"-","-",""
"hsa-mir-3173",MI0014204,40.7,chr14,95137919,95137986,"-","-",""
"hsa-mir-3174",MI0014208,15,chr15,90006755,90006841,"+","-",""
"hsa-mir-3175",MI0014209,180,chr15,92904399,92904475,"+","-",""
"hsa-mir-3176",MI0014210,62.1,chr16,543277,543366,"+","-",""
"hsa-mir-3177",MI0014211,29.8,chr16,1734985,1735066,"+","-",""
"hsa-mir-3178",MI0014212,"1.36e+03",chr16,2531922,2532005,"-","-",""
"hsa-mir-3179-1",MI0014213,41.6,chr16,14901508,14901591,"+","-",""
"hsa-mir-3179-2",MI0014216,41.4,chr16,16300159,16300242,"+","-",""
"hsa-mir-3179-3",MI0014221,41.6,chr16,18411894,18411977,"-","-",""
"hsa-mir-3179-4",MI0031510,44.5,chr16,18494493,18494576,"-","-",""
"hsa-mir-3180-1",MI0014214,860,chr16,14911220,14911313,"+","-",""
"hsa-mir-3180-2",MI0014215,811,chr16,16309879,16309966,"+","-",""
"hsa-mir-3180-3",MI0014217,770,chr16,18402178,18402271,"-","-",""
"hsa-mir-3180-4",MI0016408,476,chr16,15154850,15155002,"-","-",""
"hsa-mir-3180-5",MI0016409,739,chr16,2135977,2136129,"-","-",""
"hsa-mir-3181",MI0014223,55.2,chr16,50742305,50742377,"+","-",""
"hsa-mir-3182",MI0014224,53.2,chr16,83508346,83508408,"+","-",""
"hsa-mir-3183",MI0014225,107,chr17,1022476,1022559,"-","-",""
"hsa-mir-3184",MI0014226,60.1,chr17,30117086,30117160,"-","-",""
"hsa-mir-3185",MI0014227,188,chr17,48724408,48724475,"-","-",""
"hsa-mir-3186",MI0014229,62.8,chr17,81451104,81451188,"-","-",""
"hsa-mir-3187",MI0014231,35.9,chr19,813584,813653,"+","-",""
"hsa-mir-3188",MI0014232,30.7,chr19,18282077,18282161,"+","-",""
"hsa-mir-3189",MI0014233,53.8,chr19,18386562,18386634,"+","-",""
"hsa-mir-3190",MI0014235,59.4,chr19,47226942,47227021,"+","-",""
"hsa-mir-3191",MI0014236,13.4,chr19,47226944,47227019,"-","-",""
"hsa-mir-3192",MI0014237,48.5,chr20,18470615,18470691,"+","-",""
"hsa-mir-3193",MI0014238,15.6,chr20,31607186,31607240,"+","-",""
"hsa-mir-3194",MI0014239,83.8,chr20,51452905,51452977,"-","-",""
"hsa-mir-3195",MI0014240,"5.28e+03",chr20,62064802,62064885,"+","-",""
"hsa-mir-3196",MI0014241,791,chr20,63238779,63238842,"+","-",""
"hsa-mir-3197",MI0014245,184,chr21,41167557,41167629,"+","-",""
"hsa-mir-3198-1",MI0014246,45.8,chr22,17764180,17764259,"-","-",""
"hsa-mir-3198-2",MI0017335,41.8,chr12,54231397,54231476,"-","-",""
"hsa-mir-3199-1",MI0014247,46.1,chr22,27920525,27920612,"-","-",""
"hsa-mir-3199-2",MI0014248,44.8,chr22,27920526,27920611,"+","-",""
"hsa-mir-3200",MI0014249,143,chr22,30731557,30731641,"+","-",""
"hsa-mir-3201",MI0014250,46.3,chr22,48274364,48274415,"+","-",""
"hsa-mir-3202-1",MI0014252,308,chrX,153981097,153981177,"+","-",""
"hsa-mir-3202-2",MI0014253,288,chrX,153981098,153981176,"-","-",""
"hsa-mir-3529",MI0017351,27.5,chr15,88611847,88611924,"-","-",""
"hsa-mir-3591",MI0017383,33.9,chr18,58451080,58451152,"-","-",""
"hsa-mir-3605",MI0015995,114,chr1,33332393,33332492,"-","",""
"hsa-mir-3606",MI0015996,233,chr2,188995630,188995692,"+","-",""
"hsa-mir-3607",MI0015997,347,chr5,86620497,86620575,"+","-",""
"hsa-mir-3609",MI0015999,392,chr7,98881650,98881729,"+","-",""
"hsa-mir-3610",MI0016000,158,chr8,116874728,116874800,"-","-",""
"hsa-mir-3611",MI0016001,216,chr10,35079598,35079680,"-","-",""
"hsa-mir-3612",MI0016002,149,chr12,128294092,128294178,"+","-",""
"hsa-mir-3613",MI0016003,588,chr13,49996415,49996501,"-","",""
"hsa-mir-3614",MI0016004,256,chr17,56891270,56891355,"-","",""
"hsa-mir-3615",MI0016005,737,chr17,74748613,74748699,"+","-",""
"hsa-mir-3616",MI0016006,133,chr20,47166967,47167058,"+","-",""
"hsa-mir-3617",MI0016007,28.5,chr20,45705102,45705180,"-","-",""
"hsa-mir-3618",MI0016008,72.6,chr22,20085746,20085833,"+","-",""
"hsa-mir-3619",MI0016009,30.1,chr22,46091044,46091126,"+","-",""
"hsa-mir-3620",MI0016011,63.7,chr1,228097263,228097341,"+","-",""
"hsa-mir-3621",MI0016012,189,chr9,137169186,137169270,"-","-",""
"hsa-mir-3622a",MI0016013,167,chr8,27701677,27701759,"+","-",""
"hsa-mir-3622b",MI0016014,40.4,chr8,27701673,27701767,"-","-",""
"hsa-mir-3646",MI0016046,30.5,chr20,44408120,44408203,"+","-",""
"hsa-mir-3648-1",MI0016048,"1.01e+03",chr21,8208473,8208652,"+","-",""
"hsa-mir-3648-2",MI0031512,29.2,chr21,8986999,8987178,"+","-",""
"hsa-mir-3649",MI0016049,37,chr12,1660315,1660380,"-","-",""
"hsa-mir-3650",MI0016050,120,chr5,38557502,38557561,"-","-",""
"hsa-mir-3651",MI0016051,209,chr9,92292458,92292547,"-","-",""
"hsa-mir-3652",MI0016052,554,chr12,103930425,103930555,"+","-",""
"hsa-mir-3653",MI0016053,413,chr22,29333158,29333267,"-","-",""
"hsa-mir-3654",MI0016054,45.3,chr7,133034860,133034915,"-","-",""
"hsa-mir-3655",MI0016055,11.7,chr5,140647844,140647926,"+","-",""
"hsa-mir-3656",MI0016056,"2.6e+03",chr11,119018944,119019012,"+","-",""
"hsa-mir-3657",MI0016057,36.2,chr12,112037599,112037715,"-","-",""
"hsa-mir-3658",MI0016058,71,chr1,165907921,165907976,"+","-",""
"hsa-mir-3659",MI0016060,64.7,chr1,38089231,38089329,"+","-",""
"hsa-mir-3660",MI0016061,60.8,chr5,90016621,90016720,"-","-",""
"hsa-mir-3661",MI0016062,23,chr5,134225757,134225852,"+","-",""
"hsa-mir-3662",MI0016063,20.8,chr6,134979338,134979432,"-","-",""
"hsa-mir-3663",MI0016064,164,chr10,117167678,117167774,"-","-",""
"hsa-mir-3664",MI0016065,109,chr11,70872270,70872368,"-","-",""
"hsa-mir-3665",MI0016066,"3.77e+03",chr13,77698012,77698116,"-","-",""
"hsa-mir-3666",MI0016067,177,chr7,114653345,114653455,"+","-",""
"hsa-mir-3667",MI0016068,143,chr22,49543393,49543466,"-","-",""
"hsa-mir-3668",MI0016069,15.5,chr6,140205252,140205326,"+","-",""
"hsa-mir-3670-1",MI0016071,9.62,chr16,14907717,14907781,"+","-",""
"hsa-mir-3670-2",MI0019112,9.62,chr16,16306370,16306434,"+","-",""
"hsa-mir-3670-3",MI0031513,"-",chr16,18405698,18405762,"-","-",""
"hsa-mir-3670-4",MI0031514,"-",chr16,18488301,18488365,"-","-",""
"hsa-mir-3671",MI0016072,"-",chr1,65057755,65057842,"-","-",""
"hsa-mir-3672",MI0016073,"-",chrX,121370972,121371053,"+","-",""
"hsa-mir-3674",MI0016075,74.7,chr8,1801125,1801192,"+","-",""
"hsa-mir-3675",MI0016076,0.197,chr1,16858949,16859021,"-","-",""
"hsa-mir-3677",MI0016078,32.3,chr16,2270713,2270772,"+","-",""
"hsa-mir-3678",MI0016079,20.7,chr17,75406069,75406162,"+","-",""
"hsa-mir-3679",MI0016080,64.1,chr2,134127125,134127192,"+","-",""
"hsa-mir-3680-1",MI0016081,45.8,chr16,21506049,21506135,"-","-",""
"hsa-mir-3680-2",MI0019113,56.3,chr16,29599179,29599265,"-","-",""
"hsa-mir-3681",MI0016082,5.55,chr2,12199130,12199201,"+","-",""
"hsa-mir-3682",MI0016083,13.9,chr2,53849122,53849205,"-","-",""
"hsa-mir-3683",MI0016084,51,chr7,7066964,7067045,"-","-",""
"hsa-mir-3684",MI0016085,1.29,chr4,98997387,98997460,"+","-",""
"hsa-mir-3685",MI0016086,15.3,chr12,95309923,95309984,"+","-",""
"hsa-mir-3686",MI0016087,541,chr8,129484057,129484142,"-","-",""
"hsa-mir-3687-1",MI0016088,465,chr21,8208844,8208904,"+","-",""
"hsa-mir-3687-2",MI0031515,281,chr21,8987370,8987430,"+","-",""
"hsa-mir-3688-1",MI0016089,51.9,chr4,159128802,159128894,"-","-",""
"hsa-mir-3688-2",MI0017447,64,chr4,159128805,159128891,"+","-",""
"hsa-mir-3689a",MI0016090,37,chr9,134849487,134849564,"-","-",""
"hsa-mir-3689b",MI0016411,85.3,chr9,134850125,134850272,"-","-",""
"hsa-mir-3689c",MI0016832,44.5,chr9,134849298,134849369,"-","-",""
"hsa-mir-3689d-1",MI0016834,55.1,chr9,134849609,134849682,"-","-",""
"hsa-mir-3689d-2",MI0016835,35.7,chr9,134850277,134850356,"-","-",""
"hsa-mir-3689e",MI0016836,54.3,chr9,134850570,134850641,"-","-",""
"hsa-mir-3689f",MI0016837,35,chr9,134850742,134850807,"-","-",""
"hsa-mir-3690-1",MI0016091,115,chrX,1293918,1293992,"+","-",""
"hsa-mir-3690-2",MI0023561,51.3,chrY,1293918,1293992,"+","-",""
"hsa-mir-3691",MI0016092,47.4,chr6,5148233,5148322,"-","-",""
"hsa-mir-3692",MI0016093,4.92,chr6,157529132,157529200,"+","-",""
"hsa-mir-3713",MI0016134,67.3,chr15,76586647,76586691,"+","-",""
"hsa-mir-3714",MI0016135,37.7,chr3,16933196,16933260,"+","-",""
"hsa-mir-3907",MI0016410,203,chr7,151433489,151433639,"-","-",""
"hsa-mir-3908",MI0016412,378,chr12,123536409,123536534,"+","-",""
"hsa-mir-3909",MI0016413,387,chr22,35335640,35335758,"+","-",""
"hsa-mir-3910-1",MI0016414,102,chr9,91636251,91636361,"+","-",""
"hsa-mir-3910-2",MI0016431,104,chr9,91636264,91636345,"-","-",""
"hsa-mir-3911",MI0016415,319,chr9,127690687,127690795,"-","-",""
"hsa-mir-3912",MI0016416,20.4,chr5,171386656,171386760,"-","-",""
"hsa-mir-3913-1",MI0016417,140,chr12,69584722,69584823,"-","-",""
"hsa-mir-3913-2",MI0016418,135,chr12,69584723,69584822,"+","-",""
"hsa-mir-3914-1",MI0016419,211,chr7,71307672,71307770,"-","-",""
"hsa-mir-3914-2",MI0016421,112,chr7,71307674,71307768,"+","-",""
"hsa-mir-3915",MI0016420,43.9,chrX,32583656,32583752,"-","-",""
"hsa-mir-3916",MI0016422,733,chr1,247201967,247202060,"-","-",""
"hsa-mir-3917",MI0016423,68.5,chr1,25906362,25906454,"-","-",""
"hsa-mir-3918",MI0016424,21.6,chr6,158764661,158764753,"-","-",""
"hsa-mir-3919",MI0016425,2.55,chr3,159282646,159282734,"+","-",""
"hsa-mir-3920",MI0016427,30.2,chr11,101519820,101519905,"-","-",""
"hsa-mir-3921",MI0016428,21.7,chr3,99964314,99964398,"-","-",""
"hsa-mir-3922",MI0016429,68,chr12,104591633,104591716,"+","-",""
"hsa-mir-3923",MI0016430,52.8,chr3,79507887,79507969,"+","-",""
"hsa-mir-3924",MI0016432,42.4,chr10,57304479,57304559,"-","-",""
"hsa-mir-3925",MI0016433,12.9,chr6,36622436,36622512,"-","-",""
"hsa-mir-3926-1",MI0016434,96.5,chr8,12727232,12727304,"-","-",""
"hsa-mir-3926-2",MI0016437,54.9,chr8,12727237,12727299,"+","-",""
"hsa-mir-3927",MI0016435,134,chr9,109511475,109511545,"-","-",""
"hsa-mir-3928",MI0016438,130,chr22,31160062,31160119,"-","-",""
"hsa-mir-3929",MI0016439,"1.12e+03",chr18,35934088,35934142,"-","-",""
"hsa-mir-3934",MI0016590,268,chr6,33698128,33698234,"+","-",""
"hsa-mir-3935",MI0016591,101,chr16,56245520,56245623,"+","-",""
"hsa-mir-3936",MI0016592,8.96,chr5,132365490,132365599,"-","-",""
"hsa-mir-3937",MI0016593,20.6,chrX,39661216,39661321,"+","-",""
"hsa-mir-3938",MI0016594,148,chr3,55852492,55852594,"-","-",""
"hsa-mir-3939",MI0016596,11.4,chr6,166997807,166997912,"-","-",""
"hsa-mir-3940",MI0016597,64.5,chr19,6416410,6416511,"-","-",""
"hsa-mir-3941",MI0016598,28,chr10,122416965,122417067,"+","-",""
"hsa-mir-3942",MI0016599,71,chr15,35372256,35372364,"-","-",""
"hsa-mir-3943",MI0016600,33.3,chr7,43150895,43150994,"+","-",""
"hsa-mir-3944",MI0016601,43.5,chr10,133371556,133371663,"-","-",""
"hsa-mir-3945",MI0016602,42.9,chr4,184851013,184851110,"-","-",""
"hsa-mir-3960",MI0016964,"4.68e+03",chr9,127785833,127785923,"+","-",""
"hsa-mir-3972",MI0016990,58,chr1,17277889,17277975,"+","-",""
"hsa-mir-3973",MI0016991,102,chr11,36010098,36010204,"+","-",""
"hsa-mir-3974",MI0016992,17.8,chr12,17673299,17673394,"+","-",""
"hsa-mir-3975",MI0016993,17.7,chr18,35591737,35591806,"+","-",""
"hsa-mir-3976",MI0016994,30.5,chr18,5840695,5840833,"+","-",""
"hsa-mir-3977",MI0016995,"-",chr5,82840155,82840224,"+","-",""
